,ICLN_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-04-16,14.569732666015625,35.790000915527344,69.94999694824219,36.79999923706055,111.78,21.74,0.96,12.327032432556152,20.259947323799132,66.46587754504868,-162.31455312039822,-44.06562394636367,-62.314553120398216,-53.53971281433375,29.790963963907576,0.6909808593388593,0.5162233005710731,7.462735280690858,-993000.0,70.44035667906434
2009-04-17,14.331236839294434,33.939998626708984,50.119998931884766,35.290000915527344,146.91,40.6,0.79,12.335271320343018,20.15526351928711,63.29326827317179,-168.4298313267861,-54.098307377437344,-68.42983132678607,-65.76126615029956,31.216021666815035,0.6885749356910793,0.5506936275950743,7.771741847100921,-1017600.0,57.19934976975474
2009-04-20,13.080958366394043,39.18000030517578,60.84000015258789,39.709999084472656,106.35,49.86,0.0,12.318360061645508,20.048989787101746,49.857585489341474,-206.30721103786468,-66.10605915321662,-106.30721103786466,-79.01719849501643,30.35174177708448,0.5791056308844826,0.556376028252956,5.049311921511435,-1048900.0,56.54037181024747
2009-04-21,13.514579772949219,37.13999938964844,54.75,38.439998626708984,152.61,45.36,0.44,12.30780855178833,19.944884161949158,53.54107957662797,-194.86600998162606,-78.21538292024728,-94.86600998162605,-89.86768411542572,29.43073990541199,0.5213304686001319,0.5493669163223911,6.857126009477077,-1043600.0,60.14945961190294
2009-04-22,13.64466667175293,38.099998474121094,53.599998474121094,39.2400016784668,304.61,59.98,0.59,12.285115604400636,19.839947400093077,54.61815087244975,-235.33332143804225,-93.68457669876223,-135.33332143804225,-112.16884748584444,30.027903457051455,0.4805012425713784,0.5355937815721885,5.533803748683641,-1017200.0,61.19489896623941
2009-04-23,13.984342575073242,37.150001525878906,53.880001068115234,37.95000076293945,243.69,109.96,0.0,12.285115604400636,19.736600642204284,57.39559724172638,-224.37603558250728,-106.74277353399852,-124.37603558250727,-118.19178900072531,30.5824124692881,0.47013338833996876,0.5225017029257446,3.3102272337377725,-1002200.0,52.46222118853592
2009-04-24,14.099971771240234,36.81999969482422,52.810001373291016,36.79999923706055,187.13,31.19,0.0,12.290463714599609,19.63509681224823,58.330505880900255,-220.64606197159526,-119.04859205020607,-120.64606197159527,-126.78513966404837,31.216327195977133,0.4658767616325008,0.5111767146670958,3.887106598927703,-991400.0,52.156330730338695
2009-04-27,13.601308822631836,38.31999969482422,56.75,38.790000915527344,98.97,77.25,1.23,12.291620063781739,19.529581875801085,52.93556689630893,-236.73196156016175,-124.07609390095399,-136.73196156016178,-127.25135303808823,31.237260244360776,0.41745328028743245,0.49243202779116313,0.85747914962373,-1017700.0,43.04509059169844
2009-04-28,13.594077110290527,37.95000076293945,55.40999984741211,38.529998779296875,118.32,107.11,3.14,12.286416606903076,19.42316358566284,52.85921317403,-245.68307645789386,-129.46339756622902,-145.68307645789386,-134.35369999655043,30.927945068006686,0.3741804642287434,0.46878171507867916,4.966504719854736,-1033600.0,42.50708935169059
2009-04-29,14.432418823242188,36.08000183105469,53.709999084472656,36.959999084472656,246.58,89.91,4.74,12.311855888366699,19.31743190765381,60.05263319458124,-221.34627648635305,-132.06405262314726,-121.34627648635305,-134.58710483480306,31.457852052666777,0.40288935793128466,0.45560324364920024,8.650741023984953,-1025300.0,41.90332520048869
2009-04-30,15.212939262390137,36.5,52.75,36.63999938964844,130.17,42.72,5.01,12.362445259094239,19.21867425441742,65.3534889578142,-184.45640551397278,-128.70090810580896,-84.45640551397278,-117.16191948607339,32.49821310551582,0.4830544879387375,0.4610934925071077,8.505152693239172,-1006100.0,44.41954851202585
2009-05-01,15.176803588867188,35.29999923706055,50.20000076293945,35.04999923706055,116.18,45.43,0.76,12.417804489135742,19.11568883419037,64.92395318116688,-167.2189499593553,-114.25207832470123,-67.21894995935531,-91.0072106532272,33.851767140423554,0.5374744136984315,0.47636967674537245,5.368798993430057,-1021700.0,45.722523261145504
2009-05-04,16.463214874267578,34.529998779296875,49.0099983215332,35.04999923706055,130.36,20.13,2.95,12.510599727630614,19.01877408504486,71.98344796894524,-131.62108915087674,-89.75598167134524,-31.62108915087675,-61.0988148747351,35.36366670023109,0.6766057468047908,0.5164168907572562,14.702899184837449,-1003500.0,53.152512330478544
2009-05-05,16.470443725585938,33.36000061035156,47.400001525878906,33.41999816894531,65.38,52.24,0.87,12.614958248138429,18.923413138389588,72.01752981926462,-127.65924203423363,-64.75748419203924,-27.659242034233625,-42.16642704815538,37.00665669475523,0.7784778307191615,0.5688290787496373,14.235557584291868,-962300.0,58.59971205924527
2009-05-06,17.120880126953125,32.45000076293945,46.880001068115234,33.279998779296875,88.77,17.93,0.0,12.718305072784425,18.82787158489227,74.96820073271792,-114.9256360635947,-42.666854779708565,-14.925636063594702,-24.735322416235174,38.65505377932027,0.9013072637443944,0.6353247157485887,17.509912634760518,-946500.0,59.71548716087951
2009-05-07,16.629436492919922,33.439998626708984,47.400001525878906,34.470001220703125,103.71,26.69,0.31,12.822663593292237,18.73323338985443,69.04419518741689,-120.24465900158616,-29.281642832509636,-20.244659001586168,-20.94317903313831,40.46517192018951,0.9480663613912075,0.6978730448771124,16.036296653224767,-984100.0,55.78246147281525
2009-05-08,17.01247215270996,32.04999923706055,44.88999938964844,33.66999816894531,171.49,26.48,1.16,12.936706352233887,18.640654911994933,70.96968112934064,-114.58682098252395,-20.754735599536208,-14.586820982523953,-16.585705349235088,42.145995908139525,1.0044523582043983,0.7591889075425696,30.05524271383868,-949900.0,53.83164268839028
2009-05-11,16.745075225830078,32.869998931884766,45.22999954223633,34.290000915527344,74.34,30.82,1.2,13.051471977233886,18.55468922138214,67.79920323097494,-127.98922880455184,-19.489706881753637,-27.98922880455184,-20.940236262887467,43.35450951530645,1.0158518617319565,0.810521498380447,23.903780266605246,-973100.0,50.310744110226636
2009-05-12,16.56439971923828,31.799999237060547,44.97999954223633,33.09000015258789,110.55,22.91,0.45,13.178812656402588,18.465832695960998,65.6646306113424,-130.87081562115375,-20.669410027177534,-30.870815621153742,-24.48228846940999,44.134705164779476,0.9987935763717868,0.848175913978715,21.398346458178843,-988800.0,43.61411944145257
2009-05-13,15.26352596282959,33.650001525878906,46.849998474121094,34.97999954223633,75.19,29.91,0.35,13.280135860443115,18.37155584335327,52.7798971608531,-151.61840192791257,-27.416224505612348,-51.61840192791257,-36.82614878453953,43.14168607617846,0.870273154836239,0.8525953621502198,9.147254373162038,-1013000.0,42.114288745335784
2009-05-14,15.704378128051758,31.3700008392334,45.65999984741211,32.63999938964844,135.13,16.37,0.0,13.379001865386963,18.27547221183777,55.93545220227417,-144.58726742972775,-34.5557551934048,-44.587267429727746,-42.35882832626483,41.16310289064682,0.7948305681826788,0.8410424033567117,11.378791268816846,-994800.0,38.01026337214543
2009-05-15,15.567060470581055,33.119998931884766,46.0099983215332,33.13999938964844,370.6,13.61,0.0,13.493622875213623,18.174654846191405,54.70906885210631,-146.77734155166297,-42.281993582413,-46.777341551662985,-47.66100363643458,39.77066235012503,0.7157111151580651,0.8159761457169823,14.452665354368799,-1005600.0,43.056631621118335
2009-05-18,15.86336612701416,30.239999771118164,42.209999084472656,30.219999313354492,84.97,10.14,1.19,13.614603595733643,18.077125782966615,56.90473779624535,-151.7313979108849,-45.906166975597166,-51.731397910884915,-47.69866896409203,38.49808853310826,0.6692036061487361,0.786621637803333,16.693218659218957,-992600.0,47.43881062332955
2009-05-19,16.72339630126953,28.799999237060547,41.25,29.559999465942383,69.66,7.62,0.0,13.756398429870606,17.987040638923645,62.57582442695969,-169.4021927682977,-50.443327781380674,-69.4021927682977,-55.970310743615336,37.85687437444284,0.6937462428353189,0.7680465588097303,15.873828954699665,-942800.0,54.19200399688891
2009-05-20,17.019699096679688,29.030000686645508,40.7400016784668,29.899999618530273,111.98,48.0,0.0,13.889087009429932,17.901942143440248,64.31800293032556,-163.16423918071547,-55.033863220335654,-63.16423918071546,-61.4326099532995,37.79446299573943,0.7287055544847583,0.7601783579447359,11.876467808928105,-911800.0,56.119237856233816
2009-05-21,16.708938598632812,31.350000381469727,41.560001373291016,31.200000762939453,133.56,21.91,0.0,14.012091426849365,17.81612097263336,61.10513509483485,-167.8496399292561,-61.4027593298905,-67.84963992925611,-66.80535729275657,36.86254674537986,0.7230009805256241,0.7527428824609135,10.095241733835891,-942500.0,49.47762300255447
2009-05-22,16.59330177307129,32.630001068115234,40.95000076293945,31.8700008392334,105.33,21.27,0.42,14.127868671417236,17.727878680229185,59.90595248222949,-170.2192474179459,-65.10522536289848,-70.21924741794588,-67.0777088426393,35.997195941474544,0.7010676674869156,0.7424078394661139,0.7901670469419697,-958000.0,44.83634272238143
2009-05-26,16.802886962890625,30.6200008392334,41.970001220703125,31.229999542236328,99.6,27.05,0.0,14.243067798614502,17.640756545066832,61.38510049993818,-165.92446819945084,-67.29361710587123,-65.92446819945086,-67.99778518221775,34.64166097523709,0.692613119222953,0.7324488954174817,2.0184230785977864,-938400.0,35.55850775661645
2009-05-27,17.0413761138916,32.36000061035156,41.939998626708984,32.15999984741211,63.82,20.94,0.0,14.362747631072999,17.557790017127992,63.05533035809,-161.03739459258753,-66.93417692050622,-61.037394592587525,-65.72703673666156,33.83422469587209,0.6971209339766435,0.7253833031293141,-0.464368726794373,-922100.0,35.66181728150813
2009-05-28,17.019699096679688,31.670000076293945,40.810001373291016,31.520000457763672,95.79,34.29,0.0,14.490521831512451,17.477244515419006,62.789488198888364,-161.4815958413539,-65.51310271000342,-61.48159584135391,-62.814486211130905,32.806849826987644,0.6909790788183106,0.7185024582671133,2.346817969002868,-964000.0,35.2139499829413
