,PBW_Adj_close,VIX,OVX,VXN,EPU,EMU,EMV_IDT,MA50,MA200,RSI,WAD,StoSLOWD,StoFASTK,StoFASTD,ADX,MACD,MACD Signal,PriceRateOfChange,onBalanceVolume,MFI
2009-04-16,33.07526397705078,35.790000915527344,69.94999694824219,36.79999923706055,111.78,21.74,0.96,27.845605773925783,43.43757910728455,64.86149904612482,-165.55164478443285,-50.73576632114052,-65.55164478443287,-63.343611385755764,27.42299003771323,1.484936003543183,1.2159529673482452,7.186385835816034,-373760.0,84.12351290197631
2009-04-17,33.225589752197266,33.939998626708984,50.119998931884766,35.290000915527344,146.91,40.6,0.79,27.90950107574463,43.24157067298889,65.30482212852655,-161.9479609065488,-62.557378996860585,-61.947960906548786,-71.28882294483208,28.28581286837647,1.542372320681217,1.2812368380148396,9.00121886440932,-235720.0,84.58026575178488
2009-04-20,30.707365036010742,39.18000030517578,60.84000015258789,39.709999084472656,106.35,49.86,0.0,27.91325973510742,43.05251544952392,53.19691059436191,-198.4439632152694,-69.98231909977943,-98.4439632152694,-75.31452296875044,26.947788907270883,1.3689113687638716,1.298771744164646,7.641642555197303,-410640.0,79.49479608731447
2009-04-21,31.19598388671875,37.13999938964844,54.75,38.439998626708984,152.61,45.36,0.44,27.907246017456053,42.86984992980957,54.942536378093344,-191.3625321623137,-76.84049933609775,-91.36253216231368,-83.9181520947107,25.557422286792022,1.25638692593623,1.2902947805189628,9.21055768117598,-306800.0,73.31040873900531
2009-04-22,31.94769287109375,38.099998474121094,53.599998474121094,39.2400016784668,304.61,59.98,0.59,27.91325984954834,42.696768608093265,57.56474732308553,-237.18683151971726,-89.41015023196489,-137.18683151971726,-108.99777563243352,25.23135276603296,1.2138743392728486,1.27501069226974,7.187871122614586,-162680.0,74.85694068665867
2009-04-23,32.06045150756836,37.150001525878906,53.880001068115234,37.95000076293945,243.69,109.96,0.0,27.94558361053467,42.515794353485106,57.95997613507823,-235.03904796781995,-104.70402164792041,-135.03904796781995,-121.19613721661703,24.928573925328116,1.1757284222693407,1.25515423826966,4.151405936878794,5740.0,76.14431908228546
2009-04-24,32.098026275634766,36.81999969482422,52.810001373291016,36.79999923706055,187.13,31.19,0.0,27.988431015014648,42.33688720703125,58.10002087050925,-234.3233380998884,-121.90343957050861,-134.3233380998884,-135.51640586247527,24.64742214467362,1.1354408229554274,1.2312115552068135,1.5457774858338658,163740.0,77.54129838933075
2009-04-27,31.94769287109375,38.31999969482422,56.75,38.790000915527344,98.97,77.25,1.23,28.030527114868164,42.15816802978516,57.27790165211913,-237.18683151971726,-130.74298298052253,-137.18683151971726,-135.51640586247527,24.1314041011798,1.0789445596212524,1.2007581560897012,2.409633839742531,98160.0,73.24441643462622
2009-04-28,31.797338485717773,37.95000076293945,55.40999984741211,38.529998779296875,118.32,107.11,3.14,28.05382972717285,41.97719386100769,56.41805322991528,-249.55753315385383,-137.1295708831457,-149.55753315385383,-140.35590092448658,23.32309500759712,1.0103913589206535,1.1626847966558915,8.045979171856942,-624200.0,53.98518578406044
2009-04-29,32.8497428894043,36.08000183105469,53.709999084472656,36.959999084472656,246.58,89.91,4.74,28.146290130615235,41.792460985183716,60.84838015189592,-265.52304733642194,-142.20937026343097,-165.5230473364219,-150.75580400333106,23.42989914610006,1.0291196428946563,1.1359717659036446,8.302336539191346,-550420.0,52.41230632879804
